行政区,集群编号,潜力等级,tsne_x,tsne_y,潜力分数,家庭收入中位数,医疗指数,第三产业比例
中壢區,2,高潛力,-147.5847,15.095201,0.6036244515768979,504000.0,0.2121571857097406,88.18559254133585
八德區,0,中潛力,13.733705,-23.399237,-0.3106655900545486,449000.0,0.094766021874204,79.59834834834835
大園區,0,中潛力,22.248095,-43.91391,0.021995910076565955,447000.0,0.1082833158418245,82.2260569456428
大溪區,1,低潛力,158.21791,-11.59683,-0.8729936151597855,424000.0,0.0233488890194296,78.0388151174668
平鎮區,0,中潛力,-59.651115,-20.903616,0.007260858732574253,468000.0,0.1456911424163589,81.82707993474715
復興區,1,低潛力,205.72437,-10.835002,-0.5106021052077343,398000.0,0.0091093523805261,90.29850746268656
桃園區,2,高潛力,-176.2797,18.802162,1.049364614378697,521000.0,0.5519613099919445,87.13441314193598
新屋區,1,低潛力,197.26451,11.433847,-1.1898475180480785,404000.0,0.1108809939059988,78.80067567567568
楊梅區,0,中潛力,-28.07469,-27.919413,-0.07675472008771676,460000.0,0.0994797462703059,81.146408839779
龍潭區,0,中潛力,-40.12668,-5.9061637,0.033876543065803455,465000.0,0.1852007715045691,82.83056103749648
龜山區,2,高潛力,-123.39849,6.100861,1.3040849237853525,488000.0,0.7020975023390542,84.55832771409305
蘆竹區,2,高潛力,-176.03853,42.833923,0.3563968357185371,530000.0,0.0603875810861734,83.448642895157
觀音區,1,低潛力,163.61766,9.147844,-0.41574058877657827,421000.0,0.0033854937558184,77.61370348493799
