行政區,年份,平均所得_千元,總納稅單位_戶,總家數,總資本額_千元,批發及零售業_家數,製造業_家數,住宿及餐飲業_家數,專業科學及技術服務業_家數,金融及保險業_家數
中壢區,105,921.1144279054698,111118.0,11094.0,2372936681.0,6074.0,182.0,1366.0,245.0,53.0
八德區,105,802.5860450979275,52641.0,4266.0,926880988.0,2292.0,155.0,361.0,81.0,14.0
大園區,105,811.6828951919751,23128.0,1849.0,501020863.0,1007.0,60.0,151.0,26.0,4.0
大溪區,105,783.1977121318373,22816.0,2491.0,541404376.0,1404.0,77.0,224.0,53.0,4.0
平鎮區,105,871.2940235140431,61240.0,4966.0,1153916187.0,2612.0,111.0,426.0,127.0,17.0
復興區,105,719.1534820824882,1479.0,213.0,17900600.0,143.0,2.0,26.0,6.0,0.0
新屋區,105,742.8714807302231,12325.0,968.0,223786499.0,562.0,31.0,66.0,12.0,2.0
桃園區,105,1013.5514690560533,124774.0,10698.0,2725452896.0,5787.0,233.0,1380.0,295.0,54.0
楊梅區,105,847.1071397996747,46724.0,3392.0,844587949.0,1817.0,81.0,305.0,61.0,10.0
蘆竹區,105,1018.0230999633676,46407.0,2992.0,753850442.0,1494.0,158.0,431.0,58.0,11.0
觀音區,105,750.1988536670956,17098.0,1234.0,327602500.0,683.0,37.0,122.0,14.0,2.0
龍潭區,105,873.267881159066,32716.0,2923.0,1497012663.0,1516.0,69.0,338.0,36.0,3.0
龜山區,105,884.4272119815669,43400.0,3575.0,826848279.0,1877.0,118.0,493.0,62.0,6.0
中壢區,106,930.547972433427,115212.0,11512.0,2391699535.0,6265.0,199.0,1500.0,254.0,50.0
八德區,106,820.970784625798,54663.0,4483.0,963191974.0,2384.0,168.0,399.0,87.0,16.0
大園區,106,816.1857679758807,24213.0,1911.0,537613251.0,1034.0,61.0,176.0,22.0,4.0
大溪區,106,794.6360989178148,23009.0,2555.0,539420876.0,1421.0,81.0,244.0,56.0,4.0
平鎮區,106,875.2117825496927,62635.0,5132.0,1167332926.0,2696.0,114.0,451.0,137.0,16.0
復興區,106,723.993481095176,1534.0,220.0,18676600.0,148.0,1.0,27.0,4.0,0.0
新屋區,106,751.4866645748352,12748.0,1004.0,231750499.0,575.0,33.0,78.0,13.0,1.0
桃園區,106,1022.8093912499511,127885.0,11044.0,2770850888.0,5944.0,254.0,1471.0,298.0,60.0
楊梅區,106,865.0773727150677,48415.0,3541.0,843874760.0,1879.0,82.0,327.0,67.0,9.0
蘆竹區,106,1025.8542798629107,47852.0,3123.0,774586442.0,1550.0,155.0,472.0,59.0,11.0
觀音區,106,761.3835803099983,17613.0,1308.0,345567500.0,711.0,38.0,130.0,13.0,2.0
龍潭區,106,887.4561128998284,33233.0,3024.0,1563118663.0,1563.0,74.0,363.0,38.0,3.0
龜山區,106,897.59909651829,45380.0,3797.0,844920451.0,1956.0,124.0,579.0,65.0,7.0
中壢區,107,954.2073075369716,116373.0,11955.0,2467814422.0,6455.0,207.0,1619.0,275.0,50.0
八德區,107,849.7259036144578,55444.0,4679.0,994511073.0,2470.0,176.0,438.0,83.0,18.0
大園區,107,838.8351927181924,24829.0,1986.0,552200351.0,1076.0,65.0,190.0,24.0,4.0
大溪區,107,806.6449709202874,23384.0,2634.0,554241763.0,1453.0,85.0,262.0,57.0,4.0
平鎮區,107,902.1573422097042,62488.0,5285.0,1183156727.0,2765.0,117.0,488.0,138.0,18.0
復興區,107,729.1574239713775,1677.0,237.0,21667600.0,149.0,1.0,33.0,4.0,0.0
新屋區,107,760.6862638641123,12893.0,1049.0,245075499.0,594.0,41.0,86.0,11.0,1.0
桃園區,107,1036.8035119564965,130013.0,11349.0,2835217127.0,6053.0,262.0,1564.0,312.0,59.0
楊梅區,107,877.2096335673416,49286.0,3675.0,889671912.0,1951.0,94.0,335.0,67.0,10.0
蘆竹區,107,1042.1781050120314,48623.0,3245.0,798989142.0,1602.0,153.0,483.0,60.0,12.0
觀音區,107,766.7518805433929,17814.0,1380.0,361760500.0,746.0,40.0,140.0,13.0,1.0
龍潭區,107,897.7253087338194,33605.0,3138.0,1611802843.0,1609.0,76.0,393.0,43.0,4.0
龜山區,107,930.7512292330019,46167.0,3887.0,852585675.0,2002.0,128.0,596.0,67.0,8.0
中壢區,108,736.60760445473,119693.0,12291.0,2485987173.0,6536.0,211.0,1720.0,295.0,49.0
八德區,108,630.2240154711674,56880.0,4799.0,1028479748.0,2499.0,189.0,468.0,90.0,17.0
大園區,108,635.9484775703107,25814.0,2102.0,546841975.0,1122.0,66.0,224.0,27.0,3.0
大溪區,108,591.3252467793208,23908.0,2748.0,585956531.0,1490.0,89.0,280.0,56.0,4.0
平鎮區,108,674.139560491419,63571.0,5517.0,1249041124.0,2843.0,134.0,523.0,143.0,19.0
復興區,108,509.34468584850265,1703.0,245.0,23182600.0,149.0,1.0,34.0,4.0,0.0
新屋區,108,538.4554929359994,12953.0,1086.0,254897498.0,610.0,41.0,87.0,11.0,1.0
桃園區,108,820.6462411814928,133526.0,11690.0,2920616413.0,6165.0,264.0,1691.0,319.0,65.0
楊梅區,108,647.1275863441032,50264.0,3882.0,942908681.0,2041.0,104.0,369.0,69.0,11.0
蘆竹區,108,811.0075284834334,49678.0,3347.0,812350042.0,1655.0,156.0,503.0,61.0,10.0
觀音區,108,533.1008288050936,18219.0,1431.0,364860500.0,768.0,44.0,147.0,15.0,1.0
龍潭區,108,673.086876425522,34198.0,3240.0,788755872.0,1622.0,81.0,428.0,48.0,4.0
龜山區,108,711.5794074074074,47250.0,4032.0,870453676.0,2046.0,136.0,629.0,75.0,7.0
中壢區,110,784.4703942617821,124638.0,13729.0,2755218888.0,7099.0,262.0,2098.0,349.0,52.0
八德區,110,670.8711455993465,58764.0,5328.0,1171418169.0,2770.0,213.0,557.0,102.0,16.0
大園區,110,684.3589081373173,25168.0,2318.0,563740662.0,1209.0,70.0,274.0,32.0,5.0
大溪區,110,632.2884065286892,23772.0,2937.0,621733331.0,1561.0,98.0,306.0,59.0,2.0
平鎮區,110,716.5428235548887,64649.0,6130.0,1383549090.0,3136.0,147.0,628.0,154.0,23.0
